Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2014,CA,California,Los Angeles,City,BRFSS,Health Outcomes,0644000,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.7,,,14.6,14.7,"3,792,621","(34.1182277898, -118.408500088)",HLTHOUT,PHLTH,0644000,,Physical Health
2014,CA,California,Los Angeles,City,BRFSS,Health Outcomes,0644000,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.3,,,14.2,14.3,"3,792,621","(34.1182277898, -118.408500088)",HLTHOUT,PHLTH,0644000,,Physical Health
2014,CA,California,Los Angeles,Census Tract,BRFSS,Health Outcomes,0644000-06037101110,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.1,,,12.7,15.5,"4,731","(34.2594736124, -118.292986888)",HLTHOUT,PHLTH,0644000,06037101110,Physical Health
2014,CA,California,Los Angeles,Census Tract,BRFSS,Health Outcomes,0644000-06037101122,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.4,,,9.4,11.7,"3,664","(34.2677215381, -118.290147139)",HLTHOUT,PHLTH,0644000,06037101122,Physical Health
2014,CA,California,Los Angeles,Census Tract,BRFSS,Health Outcomes,0644000-06037101210,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.1,,,15.7,18.5,"5,990","(34.2529723884, -118.29073093)",HLTHOUT,PHLTH,0644000,06037101210,Physical Health
2014,CA,California,Los Angeles,Census Tract,BRFSS,Health Outcomes,0644000-06037101220,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.3,,,14.0,16.6,"3,363","(34.251608492, -118.281632269)",HLTHOUT,PHLTH,0644000,06037101220,Physical Health
2014,CA,California,Los Angeles,Census Tract,BRFSS,Health Outcomes,0644000-06037101300,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.9,,,9.8,12.3,"4,199","(34.2487781261, -118.270998916)",HLTHOUT,PHLTH,0644000,06037101300,Physical Health
2014,CA,California,Los Angeles,Census Tract,BRFSS,Health Outcomes,0644000-06037101400,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.0,,,12.4,15.7,"3,903","(34.2428530221, -118.294164132)",HLTHOUT,PHLTH,0644000,06037101400,Physical Health
2014,CA,California,Los Angeles,Census Tract,BRFSS,Health Outcomes,0644000-06037102103,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.0,,,9.9,12.2,"1,740","(34.2250792017, -118.354188044)",HLTHOUT,PHLTH,0644000,06037102103,Physical Health
2014,CA,California,Los Angeles,Census Tract,BRFSS,Health Outcomes,0644000-06037102104,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.3,,,8.5,10.1,"3,648","(34.2161867087, -118.345404215)",HLTHOUT,PHLTH,0644000,06037102104,Physical Health
