Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2014,CA,California,Alameda,City,BRFSS,Health Outcomes,0600562,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.6,,,9.4,9.9,"73,812","(37.7650849031, -122.266489842)",HLTHOUT,PHLTH,0600562,,Physical Health
2014,CA,California,Alameda,City,BRFSS,Health Outcomes,0600562,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.2,,,9.9,10.5,"73,812","(37.7650849031, -122.266489842)",HLTHOUT,PHLTH,0600562,,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001427100,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.6,,,8.6,11.0,"3,646","(37.7645625166, -122.231170131)",HLTHOUT,PHLTH,0600562,06001427100,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001427200,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.1,,,10.1,12.2,"4,107","(37.775929832, -122.247776936)",HLTHOUT,PHLTH,0600562,06001427200,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001427300,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.3,,,12.0,14.6,"4,896","(37.7811916268, -122.266079332)",HLTHOUT,PHLTH,0600562,06001427300,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001427600,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,14.1,,,13.0,15.4,"4,722","(37.7778322183, -122.283597907)",HLTHOUT,PHLTH,0600562,06001427600,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001427700,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.7,,,9.6,11.9,"4,866","(37.7691701721, -122.285136575)",HLTHOUT,PHLTH,0600562,06001427700,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001427800,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.1,,,8.2,10.1,"4,640","(37.7714922387, -122.269058188)",HLTHOUT,PHLTH,0600562,06001427800,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001427900,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.3,,,8.2,10.6,"4,567","(37.7698045486, -122.258245428)",HLTHOUT,PHLTH,0600562,06001427900,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001428000,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.3,,,9.4,11.3,"2,928","(37.7666413788, -122.247540431)",HLTHOUT,PHLTH,0600562,06001428000,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001428100,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.2,,,9.1,11.5,"4,651","(37.7596579223, -122.234298564)",HLTHOUT,PHLTH,0600562,06001428100,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001428200,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.1,,,9.0,11.5,"6,259","(37.753584501, -122.240032775)",HLTHOUT,PHLTH,0600562,06001428200,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001428301,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.7,,,7.9,9.6,"6,526","(37.7331115628, -122.241211914)",HLTHOUT,PHLTH,0600562,06001428301,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001428302,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,8.1,,,7.2,9.2,"7,074","(37.7431320606, -122.248971174)",HLTHOUT,PHLTH,0600562,06001428302,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001428400,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.8,,,9.7,11.9,"4,357","(37.7515279664, -122.256729369)",HLTHOUT,PHLTH,0600562,06001428400,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001428500,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,10.3,,,9.4,11.3,"3,183","(37.7596492992, -122.259970057)",HLTHOUT,PHLTH,0600562,06001428500,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001428600,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.7,,,8.9,10.6,"3,271","(37.7632235073, -122.272328908)",HLTHOUT,PHLTH,0600562,06001428600,Physical Health
2014,CA,California,Alameda,Census Tract,BRFSS,Health Outcomes,0600562-06001428700,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,9.4,,,8.6,10.4,"4,119","(37.7830855135, -122.306498973)",HLTHOUT,PHLTH,0600562,06001428700,Physical Health
2014,CA,California,Alhambra,City,BRFSS,Health Outcomes,0600884,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.4,,,11.2,11.7,"83,089","(34.0839734383, -118.135514119)",HLTHOUT,PHLTH,0600884,,Physical Health
2014,CA,California,Alhambra,City,BRFSS,Health Outcomes,0600884,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.8,,,11.5,12.0,"83,089","(34.0839734383, -118.135514119)",HLTHOUT,PHLTH,0600884,,Physical Health
2014,CA,California,Alhambra,Census Tract,BRFSS,Health Outcomes,0600884-06037480302,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.2,,,10.2,12.2,"4,255","(34.1012449031, -118.121802023)",HLTHOUT,PHLTH,0600884,06037480302,Physical Health
